Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000175147	28	22	22	43	29	24	29	119	134	47	38	47
ENSG00000127472	7	1	3	16	10	9	11	25	15	27	9	5
ENSG00000060656	130	79	297	222	599	352	131	688	833	219	197	497
ENSG00000163867	158	267	204	383	179	192	110	218	249	175	115	109
ENSG00000232768	7	10	2	1	8	0	0	0	0	3	3	1
ENSG00000230214	0	0	3	0	0	1	0	0	0	1	0	2
ENSG00000189280	1	58	7	20	8	13	14	39	30	16	3	43
ENSG00000134698	463	430	512	694	493	439	246	599	695	622	390	359
ENSG00000272420	2	2	2	2	3	3	0	1	2	3	1	6
ENSG00000132881	15	22	30	104	50	64	25	34	28	29	32	34
ENSG00000273274	0	43	5	27	14	13	1	2	7	139	20	29
ENSG00000236648	0	0	0	3	0	4	0	1	1	17	0	7
ENSG00000232273	6	11	5	3	2	2	5	5	1	9	3	5
ENSG00000009709	2	1	15	13	13	18	0	0	0	29	11	15
ENSG00000287396	0	0	0	1	2	1	0	0	0	3	0	1
ENSG00000158008	12	65	4	43	37	55	136	195	104	186	270	692
ENSG00000130940	143	360	281	542	575	481	395	1382	1421	177	259	232
ENSG00000163879	134	46	73	110	341	239	570	472	746	53	27	24
ENSG00000227527	3	1	2	6	9	6	1	2	5	5	4	0
ENSG00000116954	190	456	238	349	212	167	298	1006	1426	299	173	164
ENSG00000228589	37	76	73	271	69	49	163	149	149	46	77	75
ENSG00000163873	18	24	24	36	280	141	54	476	323	112	50	60
ENSG00000117215	156	34	334	60	22	47	4	5	1	85	79	35
ENSG00000230163	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	1	0	0	0	3	0	1
ENSG00000044012	0	0	0	2	0	2	0	0	0	13	3	6
ENSG00000179051	1666	2846	1854	4086	1631	1637	840	2801	3208	2179	2641	2155
ENSG00000215895	0	7	4	16	2	4	8	12	33	5	6	4
ENSG00000284650	0	0	0	1	6	2	0	0	0	21	2	1
ENSG00000237329	11	22	13	4	5	2	4	2	0	13	8	2
ENSG00000236948	0	0	0	1	5	2	1	0	0	8	4	1
ENSG00000126067	499	757	867	2114	753	643	869	1565	1777	1725	754	1195
ENSG00000274944	2	9	1	5	9	4	1	4	0	10	2	0
ENSG00000272078	7	24	16	18	35	23	34	160	101	9	19	14
ENSG00000230451	0	0	0	0	1	2	0	0	1	3	0	0
ENSG00000231606	35	26	20	3	10	11	5	9	2	19	5	4
ENSG00000215900	0	0	0	2	2	1	0	0	0	6	2	0
ENSG00000284632	0	0	0	2	1	3	0	0	0	10	1	2
ENSG00000241014	8	9	5	7	1	2	1	4	3	3	1	2
ENSG00000054118	1698	1506	1426	4468	2235	2103	1274	3742	4375	2655	1917	1544
ENSG00000254553	0	0	1	0	0	0	0	0	1	1	0	2
ENSG00000284653	0	0	0	0	3	1	0	0	0	12	3	1
