,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000287921,1.715108563,5.132209753,1.809261209,2.836632836,0.004559201,0.017021668
ENSG00000177800,4.40562913,5.326981922,1.528035696,3.486163273,0.000490002,0.003064803
ENSG00000227373,8.135123869,3.896236648,0.988225404,3.942659875,8.06E-05,0.000734169
ENSG00000069275,7481.798324,1.066261143,0.39447387,2.70299562,0.006871765,0.023118187
ENSG00000187889,41.26967673,-2.462942433,0.70444876,-3.496269103,0.000471813,0.002972832
ENSG00000097046,256.577064,2.35318011,0.399823252,5.885550919,3.97E-09,1.59E-07
ENSG00000231378,9.576660676,4.891597751,1.457330762,3.356546008,0.000789226,0.004417467
ENSG00000230604,5.286164671,4.703908633,1.553965532,3.027035372,0.002469651,0.010698662
ENSG00000231605,3.026263307,4.145368952,1.605454113,2.582053837,0.009821426,0.030257637
ENSG00000203737,26.06928721,4.588087924,1.174784244,3.905472812,9.40E-05,0.000831942
ENSG00000233985,3.455040978,4.434594524,1.503927691,2.948675358,0.00319139,0.012981716
ENSG00000236719,4.868142413,5.552765413,1.45721724,3.810526846,0.000138671,0.00113745
ENSG00000136636,1818.790326,-1.112529783,0.34460729,-3.228398867,0.001244853,0.006268503
ENSG00000227043,5.261488415,6.774653506,1.575977733,4.298698746,1.72E-05,0.000209737
ENSG00000163874,1972.143018,-5.169925585,0.4109724,-12.57973915,2.73E-36,4.39E-33
ENSG00000286109,3.414707121,3.44845155,1.246642175,2.76619195,0.005671514,0.019985914
ENSG00000122223,23.88094672,3.369875416,0.633247356,5.321578343,1.03E-07,2.71E-06
ENSG00000188739,28.71490855,1.89345027,0.560668412,3.377130277,0.000732463,0.00418379
ENSG00000286666,3.218075249,5.74812253,1.786299622,3.217893829,0.001291356,0.00645678
ENSG00000203730,7.96596506,5.546824007,1.393745235,3.979797647,6.90E-05,0.000646873
ENSG00000203729,2.582270042,5.051809812,1.864663074,2.709234651,0.006743863,0.022795848
ENSG00000233047,2.111681828,5.547067092,1.884278266,2.943868319,0.003241379,0.013114861
ENSG00000228309,3.742679659,6.07295274,1.843068633,3.295022568,0.000984138,0.005234376
ENSG00000229739,48.97609542,2.926166037,0.663587047,4.409618983,1.04E-05,0.000137502
ENSG00000116703,9.554654041,2.802740316,1.073402037,2.611081608,0.009025635,0.028385491
ENSG00000222784,2.743046784,4.763162148,1.74044948,2.736742549,0.006205083,0.021412737
ENSG00000206779,3.97878022,3.96755063,1.571263665,2.525069929,0.011567527,0.034180873
ENSG00000199831,4.877972225,5.249788481,1.56746082,3.349231071,0.000810362,0.004506802
ENSG00000199879,7.242350862,6.035868037,1.57618203,3.829423203,0.000128444,0.001067175
ENSG00000252906,34.2778435,5.997727561,1.355115965,4.425988413,9.60E-06,0.00012899
ENSG00000207181,152.4135504,3.696587774,0.759446182,4.867478252,1.13E-06,2.16E-05
ENSG00000239494,4.643282152,3.536155268,1.313325322,2.692520435,0.007091419,0.023668489
ENSG00000202184,4.225901095,4.976202716,1.646690573,3.021941583,0.00251159,0.010838785
ENSG00000201944,4.559348468,4.433489762,1.722556538,2.573784757,0.010059283,0.030824576
ENSG00000200972,27.82297272,6.530253324,1.408648406,4.635829137,3.56E-06,5.70E-05
ENSG00000225272,4.397508339,5.108019348,1.524057195,3.351592949,0.000803481,0.004481651
ENSG00000224358,8.674959823,2.565763718,0.792806841,3.236303708,0.001210885,0.006145578
ENSG00000234473,8.070570954,3.225156828,1.17560644,2.7433984,0.006080686,0.021063316
ENSG00000162630,69.31568156,3.90789115,0.647252428,6.03766163,1.56E-09,6.94E-08
ENSG00000228988,4.482470953,3.510146822,1.39368161,2.518614579,0.011781754,0.034666854
